Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android,"Льюис Шон, Данн Майк",ДМК-Пресс,2358,3628,35,На складе
Паттерны объектно-ориентированного проектирования,Гамма Э. и др.,Питер.Библиотека программиста,1057,Нет старого прайса,Нет скидки,На складе
Применение пакета Matlab и Simulink для анализа электрических цепей. Том 1. Практикум,Фриск Валерий Владимирович и др.,Солон-пресс.Библиотека студента,1271,1955,35,На складе
Управление памятью в .NET для профессионалов,Кокоса Конрад,ДМК-Пресс,3720,5723,35,На складе
Terraform. Инфраструктура на уровне кода,Брикман Евгений,Питер.Бестселлеры O`Reilly,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Исследование операций и методы оптимизации. Учебное пособие,"Болотский Александр Владимирович, Кочеткова Ольга Анатольевна",Лань.Учебники для вузов. Специальная литература,573,881,35,Ограничено
Грокаем технологию Биткоин,Розенбаум Калле,Питер.IT для бизнеса,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
"Конкурентность в C#. Асинхронное, параллельное программирование",Клири Стивен,Питер.Бестселлеры O`Reilly,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Веб-компоненты в действии,Фаррелл Бен,ДМК-Пресс,1995,3069,35,На складе
Машинное обучение на R: экспертные техники для прогностического анализа,Ланц Бретт,Питер.Библиотека программиста,2910,3731,22,На складе
Head First. Изучаем Go,Макгаврен Джей,Питер.Head First (O'Reilly),Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Глубокое обучение. Погружение в мир нейронных сетей,Николенко С. и др.,Питер.Библиотека программиста,1554,1992,22,На складе
Программная инженерия. Технологии разработки программного обеспечения,Орлов Сергей Александрович,Питер.Учебник для ВУЗов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Архитектура компьютерных систем. Курс лекций. Учебное пособие,Белугина Светлана Викторовна,Лань.Учебники для вузов. Специальная литература,1212,1865,35,На складе
Разработка программных модулей программного обеспечения для компьютерных систем,Белугина Светлана Викторовна,Лань.Учебники для вузов. Специальная литература,2543,3912,35,Ограничено
Основы программирования информационного контента. Учебное пособие,"Быкадорова Елена Анатольевна, Синявская Оксана Николаевна",Лань.Учебники для вузов. Специальная литература,729,1122,35,Ограничено
,,,0,Нет старого прайса,Нет скидки,
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань.Учебники для вузов. Специальная литература,4432,6818,35,На складе
C++ для инженерных и научных расчетов,Готтшинг Питер,Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Введение в глубокое обучение,Черняк Евгений,Вильямс,1399,2152,35,Ограничено
Язык C. Самое необходимое,Прохоренок Николай Анатольевич,BHV.Самое необходимое,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Машинное обучение без лишних слов,Бурков Андрей,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов,Нобак Маттиас,ДМК-Пресс,1633,2513,35,На складе
Легкий способ выучить Python 3 еще глубже,Шоу Зед А.,Эксмо-Пресс.Мировой компьютерный бестселлер (обложка),880,1206,27,На складе
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие,"Бастрон Алевтина Алексеевна, Охапкина Елена Павловна",РГГУ,535,823,35,На складе
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ,Ефимова Елена Анатольевна,РГГУ,655,1008,35,На складе
Информационные системы и программирование. Специалист по информационным системам. Выпускная квалифик,Логачев Максим Сергеевич,ИНФРА-М.Среднее профессиональное образование,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Совершенный алгоритм. Жадные алгоритмы и динамическое программирование,Рафгарден Тим,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Паттерны Kubernetes. Шаблоны разработки собственных облачных приложений,"Ибрам Билджин, Хасс Роланд",Питер.Бестселлеры O`Reilly,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
,,,0,Нет старого прайса,Нет скидки,
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс.Функциональное программирование,1633,2513,35,На складе
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,4174,6421,35,На складе
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,2358,3628,35,На складе
РНР. Полное руководство и справочник функций,Лукьянов Михаил Юрьевич,Наука и Техника.Полное руководство,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,2358,3628,35,На складе
Машинное обучение для алгоритмической торговли на финансовых рынках. Практикум,Янсен Стефан,BHV,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Java Concurrency на практике,Гетц Брайан и др.,Питер.Для профессионалов,1841,2360,22,На складе
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1399,2152,35,Ограничено
Введение в информационный поиск,Маннинг Кристофер Д. и др.,Вильямс,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,5243,8066,35,Ограничено
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли Брэд и др.,Вильямс,4427,6810,35,На складе
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора.Мировой компьютерный бестселлер,1772,2427,27,На складе
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,2903,4466,35,На складе
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,1995,3069,35,На складе
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,2358,3628,35,На складе
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,Пащенко Федор Федорович и др.,Лань.Учебники для вузов. Специальная литература,1563,2404,35,Ограничено
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,1360,2093,35,На складе
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1633,2513,35,На складе
Объектно-ориентированный подход,Вайсфельд Мэтт,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Разработка с использованием квантовых компьютеров,Силва Владимир,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
C++. Практика многопоточного программирования,Уильямс Энтони,Питер.Для профессионалов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер.Библиотека программиста,1645,Нет старого прайса,Нет скидки,На складе
Laravel. Полное руководство,Стаффер Мэтт,Питер.Бестселлеры O`Reilly,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,Вильямс,5243,8066,35,На складе
Изучаем Python. Том 2,Лутц Марк,Вильямс,4427,6810,35,На складе
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,2358,3628,35,На складе
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс.Библиотека профессионала,727,1118,35,На складе
Обработка естественного языка с TensorFlow,Ганегедара Тушан,ДМК-Пресс,2903,4466,35,На складе
С/С++ Процедурное программирование,Полубенцева М. И.,BHV.Внесерийная,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М.Среднее профессиональное образование,2831,4355,35,На складе
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М.Среднее профессиональное образование,1154,1775,35,Ограничено
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,"Гартман Томаш Николаевич, Клушин Дмитрий Витальевич",Лань.Учебники для вузов. Специальная литература,3388,5212,35,Ограничено
Клиентские технологии веб-программирования: JavaScript и DOM,Диков Андрей Валентинович,Лань.Учебники для вузов. Специальная литература,1403,2159,35,Ограничено
